CollectionCode	HMS	StructuredFormula	StructureType	Title	Reference	FormulaUnitsPerCell	Temperature	PublicationYear	Quality	
681506	P b c a	Zr O2		A comparison study of the structural and mechanical properties of cubic, tetragonal, monoclinic, and three orthorhombic phases of ZrO$_2$	Journal of Alloys and Compounds (2018) 749,  p. 283-292	8	293.00	2018	-1	
681507	P n m a	Zr O2	HfO2	A comparison study of the structural and mechanical properties of cubic, tetragonal, monoclinic, and three orthorhombic phases of ZrO$_2$	Journal of Alloys and Compounds (2018) 749,  p. 283-292	4	293.00	2018	-1	
681508	P c a 21	Zr O2	CoAsS	A comparison study of the structural and mechanical properties of cubic, tetragonal, monoclinic, and three orthorhombic phases of ZrO$_2$	Journal of Alloys and Compounds (2018) 749,  p. 283-292	4	293.00	2018	-1	
681539	I m m m	Ti S2		Evolution of crystal structures and electronic properties for TiS$_2$ at high pressure	Journal of Alloys and Compounds (2018) 757,  p. 448-454	4	293.00	2018	-1	
681540	I 4/m m m	Ti S2	AlCr2#MoSi2	Evolution of crystal structures and electronic properties for TiS$_2$ at high pressure	Journal of Alloys and Compounds (2018) 757,  p. 448-454	2	293.00	2018	-1	
681562	P n n m	Fe O2	CaCl2	Structural stability of FeO$_2$ in the pressure range of lower mantle	Journal of Alloys and Compounds (2018) 765,  p. 271-277	2	293.00	2018	-1	
681580	F m m m	Cu Li2		Prediction of stable Cu-Li binary intermetallics from first-principles calculations. Stoichiometries, crystal structures, and physical properties	Journal of Alloys and Compounds (2018) 766,  p. 640-648	12	293.00	2018	-1	
681653	F d -3 m Z	Dy Ni2	Laves(cub)#MgCu2	Localization effect of f-electron of heavier rare-earth atoms in RENi$_2$ (RE= Dy, Ho and Er) Laves phase compounds	Computational Condensed Matter (2018) 16,   Article ID e00316 (p. null-null)	8	293.00	2018	-1	
681654	F d -3 m Z	Ho Ni2	Laves(cub)#MgCu2	Localization effect of f-electron of heavier rare-earth atoms in RENi$_2$ (RE= Dy, Ho and Er) Laves phase compounds	Computational Condensed Matter (2018) 16,   Article ID e00316 (p. null-null)	8	293.00	2018	-1	
681655	F d -3 m Z	Er Ni2	Laves(cub)#MgCu2	Localization effect of f-electron of heavier rare-earth atoms in RENi$_2$ (RE= Dy, Ho and Er) Laves phase compounds	Computational Condensed Matter (2018) 16,   Article ID e00316 (p. null-null)	8	293.00	2018	-1	
681843	F m -3 m	Ce O2	Fluorite#CaF2	Finite-temperature lattice dynamics and superionic transition in ceria from first principles	Physical Review B (2018) 97, (10)  Article ID 104309 (p. null-null)	4	293.00	2018	-1	
681856	P 63/m m c	Nb Mn2	Laves(2H)#MgZn2	Structural, thermodynamic, and electronic properties of Laves-phase  NbMn$_2$  from first principles, x-ray diffraction, and calorimetric experiments	Physical Review B (2018) 97, (12)  Article ID 125110 (p. null-null)	4	293.00	2018	-1	
681857	P 63/m m c	Nb Mn2	Laves(2H)#MgZn2	Structural, thermodynamic, and electronic properties of Laves-phase  NbMn$_2$  from first principles, x-ray diffraction, and calorimetric experiments	Physical Review B (2018) 97, (12)  Article ID 125110 (p. null-null)	4	293.00	2018	-1	
681858	P 63/m m c	Nb Mn2	Laves(2H)#MgZn2	Structural, thermodynamic, and electronic properties of Laves-phase  NbMn$_2$  from first principles, x-ray diffraction, and calorimetric experiments	Physical Review B (2018) 97, (12)  Article ID 125110 (p. null-null)	4	293.00	2018	-1	
681873	P 42/m n m	Pb O2	Rutile#TiO2	Nodal-line semimetal states in the positive-electrode material of a lead-acid battery: Lead dioxide family and its derivatives	Physical Review B: Condensed Matter and Materials Physics (2018) 98, (3)  Article ID 035144 (p. null-null)	2	293.00	2018	-1	
681889	P 1 21/m 1	Mo Te2	MoTe2	Kinetic mechanism for reversible structural transition in MoTe$_2$ induced by excess charge carriers	Physical Review B (2018) 97, (22)  Article ID 224101 (p. null-null)	4	293.00	2018	-1	
681895	P -1	Re S2		Pressure-induced structural and electronic transitions, metallization, and enhanced visible-light responsiveness in layered rhenium disulphide	Physical Review B (2018) 97, (23)  Article ID 235202 (p. null-null)	4	293.00	2018	-1	
681896	F m -3 m	Ce O2	Fluorite#CaF2	Screened hybrid functionals applied to ceria: Effect of Fock exchange	Physical Review B (2018) 97, (23)  Article ID 235203 (p. null-null)	4	293.00	2018	-1	
681900	F m -3 m	Ce O2	Fluorite#CaF2	Revisiting the GW approach to d- and  f-electron oxides	Physical Review B (2018) 97, (24)  Article ID 245132 (p. null-null)	4	293.00	2018	-1	
681905	F m -3 m	U O2	Fluorite#CaF2	Revisiting the GW approach to d- and  f-electron oxides	Physical Review B (2018) 97, (24)  Article ID 245132 (p. null-null)	4	293.00	2018	-1	
681911	F d -3 m Z	Y Co2	Laves(cub)#MgCu2	Influence of structural disorder on the magnetic properties and electronic structure of YCo$_2$	Physical Review B: Condensed Matter and Materials Physics (2018) 98, (9)  Article ID 094418 (p. null-null)	8	293.00	2018	-1	
681912	F d -3 m Z	Y Co2	Laves(cub)#MgCu2	Influence of structural disorder on the magnetic properties and electronic structure of YCo$_2$	Physical Review B: Condensed Matter and Materials Physics (2018) 98, (9)  Article ID 094418 (p. null-null)	8	293.00	2018	-1	
681930	P 63 c m	H2 O		Phonons and anomalous thermal expansion behavior of H$_2$O and D$_2$O ice Ih	Physical Review B: Condensed Matter and Materials Physics (2018) 98, (10)  Article ID 104301 (p. null-null)	12	293.00	2018	-1	
681973	P n -3 m Z	Ag2 O	Cuprite#Cu2O	Doping of  BiFeO$_3$: A comprehensive study on substitutional doping	Physical Review B: Condensed Matter and Materials Physics (2018) 98, (12)  Article ID 125202 (p. null-null)	2	293.00	2018	-1	
681977	F m -3 m	Li2 O	Fluorite#CaF2	Doping of  BiFeO$_3$: A comprehensive study on substitutional doping	Physical Review B: Condensed Matter and Materials Physics (2018) 98, (12)  Article ID 125202 (p. null-null)	4	293.00	2018	-1	
682051	P -3 m 1	Tc2 C	CdI2(hP3)	Electronic structure, mechanical and dynamical stability of hexagonal subcarbides M$_2$C (M = Tc, Ru, Rh, Pd, Re, Os, Ir, and Pt): Ab initio calculations	Physics of the Solid State (2018) 60, (2) p. 213-224	1	293.00	2018	-1	
682052	P -3 m 1	Rh2 C	CdI2(hP3)	Electronic structure, mechanical and dynamical stability of hexagonal subcarbides M$_2$C (M = Tc, Ru, Rh, Pd, Re, Os, Ir, and Pt): Ab initio calculations	Physics of the Solid State (2018) 60, (2) p. 213-224	1	293.00	2018	-1	
682146	F d -3 m S	Fe2 Zr	Laves(cub)#MgCu2	First-principles study of interaction energies of atomic defects in bcc ferromagnetic iron	Physical Review B: Condensed Matter and Materials Physics (2018) 98, (14)  Article ID 144104 (p. null-null)	8	293.00	2018	-1	
682151	P -3 m 1	Fe I2	CdI2(hP3)	First-principles study of interaction energies of atomic defects in bcc ferromagnetic iron	Physical Review B: Condensed Matter and Materials Physics (2018) 98, (14)  Article ID 144104 (p. null-null)	1	293.00	2018	-1	
682159	P n n m	Pb O2	CaCl2	Anharmonic effect driven topological phase transition in  Pb O$_2$  predicted by first-principles calculations	Physical Review B: Condensed Matter and Materials Physics (2018) 98, (14)  Article ID 144105 (p. null-null)	2	293.00	2018	-1	
682160	P 42/m n m	Pb O2		Anharmonic effect driven topological phase transition in  Pb O$_2$  predicted by first-principles calculations	Physical Review B: Condensed Matter and Materials Physics (2018) 98, (14)  Article ID 144105 (p. null-null)	2	293.00	2018	-1	
682192	C 1 2/m 1	Ta Te2	NbTe2	Trimer bonding states on the surface of the transition-metal dichalcogenide TaT e$_2$	Physical Review B: Condensed Matter and Materials Physics (2018) 98, (19)  Article ID 195423 (p. null-null)	6	293.00	2018	-1	
682193	C 1 2/m 1	Ta Te2	NbTe2	Trimer bonding states on the surface of the transition-metal dichalcogenide TaT e$_2$	Physical Review B: Condensed Matter and Materials Physics (2018) 98, (19)  Article ID 195423 (p. null-null)	6	293.00	2018	-1	
682353	P 6/m m m	Cr B2	AlB2	The affection of spin-orbit coupling on the electronic and optical properties of AlB2-like transition metal diborides: A first principle study	Results in Physics (2018) 11,  p. 34-39	1	293.00	2018	-1	
682354	P 6/m m m	Mn B2	AlB2	The affection of spin-orbit coupling on the electronic and optical properties of AlB2-like transition metal diborides: A first principle study	Results in Physics (2018) 11,  p. 34-39	1	293.00	2018	-1	
682355	P 6/m m m	Fe B2	AlB2	The affection of spin-orbit coupling on the electronic and optical properties of AlB2-like transition metal diborides: A first principle study	Results in Physics (2018) 11,  p. 34-39	1	293.00	2018	-1	
682379	P -3 m 1	Ti2 O	CdI2(hP3)	Predicting the structure and stability of titanium oxide electrides	npj Computational Materials (2018) 4,   Article ID 70 (p. 1-6)	1	293.00	2018	-1	
