CollectionCode	HMS	StructuredFormula	StructureType	Title	Reference	FormulaUnitsPerCell	Temperature	PublicationYear	Quality	
236853	F m -3 m	Hf O2	Fluorite#CaF2	The structural and electronic properties of HfO2	AIP Conference Proceedings (2012) 1447,  p. 1077-1078	4	293.00	2012	-1	
236872	R -3 m H	Ca C2		First-principles studies of pressure-induced structural and insulator-to-metal transitions in alkaline-earth-metal dicarbides MC2 (M = Ca, Sr AND Ba)	Modern Physics Letters B (2013) 27, (30)  Article ID 1350221 (p. 1-9)	3	293.00	2013	-1	
236873	R -3 m H	Sr C2		First-principles studies of pressure-induced structural and insulator-to-metal transitions in alkaline-earth-metal dicarbides MC2 (M = Ca, Sr AND Ba)	Modern Physics Letters B (2013) 27, (30)  Article ID 1350221 (p. 1-9)	3	293.00	2013	-1	
236962	P 42/m n m	Ru O2	Rutile#TiO2	Elastic properties of potential superhard phases of Ru O2	Physical Review B: Condensed Matter and Materials Physics (2000) 61, (15) p. 10029-10034	2	293.00	2000	-1	
236963	P 42/m n m	Ru O2	Rutile#TiO2	Elastic properties of potential superhard phases of Ru O2	Physical Review B: Condensed Matter and Materials Physics (2000) 61, (15) p. 10029-10034	2	293.00	2000	-1	
236964	F m -3 m	Ru O2	Fluorite#CaF2	Elastic properties of potential superhard phases of Ru O2	Physical Review B: Condensed Matter and Materials Physics (2000) 61, (15) p. 10029-10034	4	293.00	2000	-1	
236965	F m -3 m	Ru O2	Fluorite#CaF2	Elastic properties of potential superhard phases of Ru O2	Physical Review B: Condensed Matter and Materials Physics (2000) 61, (15) p. 10029-10034	4	293.00	2000	-1	
236966	P a -3	Ru O2	PdF2(cP12)	Elastic properties of potential superhard phases of Ru O2	Physical Review B: Condensed Matter and Materials Physics (2000) 61, (15) p. 10029-10034	4	293.00	2000	-1	
236967	P a -3	Ru O2	PdF2(cP12)	Elastic properties of potential superhard phases of Ru O2	Physical Review B: Condensed Matter and Materials Physics (2000) 61, (15) p. 10029-10034	4	293.00	2000	-1	
237000	I 41/a m d Z	Ti O2	Anatase#TiO2	Quantum-mechanical analysis of the equation of state of anatase Ti O2	Physical Review B: Condensed Matter and Materials Physics (2001) 64, (18)  Article ID 184113 (p. 1-9)	4	293.00	2001	-1	
237006	F m -3 m	Zr O2	Fluorite#CaF2	Structure and electrical levels of point defects in monoclinic zirconia	Physical Review B: Condensed Matter and Materials Physics (2001) 64, (22)  Article ID 224108 (p. 1-10)	4	293.00	2001	-1	
237007	P 42/n m c Z	Zr O2	Zirconia#ZrO2(HT)	Structure and electrical levels of point defects in monoclinic zirconia	Physical Review B: Condensed Matter and Materials Physics (2001) 64, (22)  Article ID 224108 (p. 1-10)	2	293.00	2001	-1	
237008	P 1 21/c 1	Zr O2	Baddeleyite#ZrO2(mP12)	Structure and electrical levels of point defects in monoclinic zirconia	Physical Review B: Condensed Matter and Materials Physics (2001) 64, (22)  Article ID 224108 (p. 1-10)	4	293.00	2001	-1	
237009	P 6/m m m	Be B2	AlB2	Detailed electronic structure studies on superconducting Mg B2 and related compounds	Physical Review B: Condensed Matter and Materials Physics (2001) 64, (22)  Article ID 224509 (p. 1-15)	1	293.00	2001	-1	
237010	P 6/m m m	Mg B2	AlB2	Detailed electronic structure studies on superconducting Mg B2 and related compounds	Physical Review B: Condensed Matter and Materials Physics (2001) 64, (22)  Article ID 224509 (p. 1-15)	1	293.00	2001	-1	
237011	P 6/m m m	Ca B2	AlB2	Detailed electronic structure studies on superconducting Mg B2 and related compounds	Physical Review B: Condensed Matter and Materials Physics (2001) 64, (22)  Article ID 224509 (p. 1-15)	1	293.00	2001	-1	
237012	P 6/m m m	Sr B2	AlB2	Detailed electronic structure studies on superconducting Mg B2 and related compounds	Physical Review B: Condensed Matter and Materials Physics (2001) 64, (22)  Article ID 224509 (p. 1-15)	1	293.00	2001	-1	
237013	P 6/m m m	Ti B2	AlB2	Detailed electronic structure studies on superconducting Mg B2 and related compounds	Physical Review B: Condensed Matter and Materials Physics (2001) 64, (22)  Article ID 224509 (p. 1-15)	1	293.00	2001	-1	
237032	P -3 m 1	Nb S2	CdI2(hP3)	Novel high pressure structures and superconductivity of niobium disulfide	Journal of Alloys and Compounds (2014) 610,  p. 472-477	1	293.00	2014	-1	
237033	P 63/m m c	Nb S2	NbS2(hP6)	Novel high pressure structures and superconductivity of niobium disulfide	Journal of Alloys and Compounds (2014) 610,  p. 472-477	2	293.00	2014	-1	
237034	R 3 m H	Nb S2	MoS2(3R)	Novel high pressure structures and superconductivity of niobium disulfide	Journal of Alloys and Compounds (2014) 610,  p. 472-477	3	293.00	2014	-1	
237035	I 4/m m m	Nb S2	AlCr2#MoSi2	Novel high pressure structures and superconductivity of niobium disulfide	Journal of Alloys and Compounds (2014) 610,  p. 472-477	2	293.00	2014	-1	
240071	I m m a	Y Cu2	CeCu2	Lattice dynamics of Y Cu2	Journal of Alloys and Compounds (2003) 349,  p. 28-36	4	293.00	2003	-1	
240754	P n n m	Ru N2	IrN2	Crystal Structures of and Displacive Transitions in OsN2, IrN2, RuN2, and RhN2	Angewandte Chemie, International Edition (2007) 46, (7) p. 1136-1140	2	293.00	2007	-1	
240755	P 1 21/c 1	Ir N2	RhN2	Crystal Structures of and Displacive Transitions in OsN2, IrN2, RuN2, and RhN2	Angewandte Chemie, International Edition (2007) 46, (7) p. 1136-1140	4	293.00	2007	-1	
240756	P n n m	Ir N2	IrN2	Crystal Structures of and Displacive Transitions in OsN2, IrN2, RuN2, and RhN2	Angewandte Chemie, International Edition (2007) 46, (7) p. 1136-1140	2	293.00	2007	-1	
240757	P n n m	Os N2	IrN2	Crystal Structures of and Displacive Transitions in OsN2, IrN2, RuN2, and RhN2	Angewandte Chemie, International Edition (2007) 46, (7) p. 1136-1140	2	293.00	2007	-1	
