CollectionCode	HMS	StructuredFormula	StructureType	Title	Reference	FormulaUnitsPerCell	Temperature	PublicationYear	Quality	
169569	P a -3	Ni S2	Pyrite#FeS2(cP12)	Prediction of high-pressure polymorphism in Ni S2 at megabar pressures	Journal of Physics: Condensed Matter (2010) 22,   Article ID 235401 (p. 1-13)	4	293.00	2010	-1	
169570	P n n m	Ni S2	Marcasite#FeS2(oP6)	Prediction of high-pressure polymorphism in Ni S2 at megabar pressures	Journal of Physics: Condensed Matter (2010) 22,   Article ID 235401 (p. 1-13)	2	293.00	2010	-1	
169571	P b c n	Ni S2	α−PbO2#Fe2N.94	Prediction of high-pressure polymorphism in Ni S2 at megabar pressures	Journal of Physics: Condensed Matter (2010) 22,   Article ID 235401 (p. 1-13)	4	293.00	2010	-1	
169572	P 63/m m c	Ni S2		Prediction of high-pressure polymorphism in Ni S2 at megabar pressures	Journal of Physics: Condensed Matter (2010) 22,   Article ID 235401 (p. 1-13)	2	293.00	2010	-1	
169573	F m -3 m	Ni S2	Fluorite#CaF2	Prediction of high-pressure polymorphism in Ni S2 at megabar pressures	Journal of Physics: Condensed Matter (2010) 22,   Article ID 235401 (p. 1-13)	4	293.00	2010	-1	
169574	P 42/n S	Ni S2		Prediction of high-pressure polymorphism in Ni S2 at megabar pressures	Journal of Physics: Condensed Matter (2010) 22,   Article ID 235401 (p. 1-13)	2	293.00	2010	-1	
169575	P n m a	Ni S2		Prediction of high-pressure polymorphism in Ni S2 at megabar pressures	Journal of Physics: Condensed Matter (2010) 22,   Article ID 235401 (p. 1-13)	4	293.00	2010	-1	
169576	P 4/n m m S	Ni S2	PrOI	Prediction of high-pressure polymorphism in Ni S2 at megabar pressures	Journal of Physics: Condensed Matter (2010) 22,   Article ID 235401 (p. 1-13)	2	293.00	2010	-1	
169577	P 63/m m c	Ni S2	Ni2In#Co1.75Ge	Prediction of high-pressure polymorphism in Ni S2 at megabar pressures	Journal of Physics: Condensed Matter (2010) 22,   Article ID 235401 (p. 1-13)	2	293.00	2010	-1	
169578	P 6/m m m	Ni S2	CaHg2	Prediction of high-pressure polymorphism in Ni S2 at megabar pressures	Journal of Physics: Condensed Matter (2010) 22,   Article ID 235401 (p. 1-13)	1	293.00	2010	-1	
169771	P 63/m m c	Ta S2	NbS2(hP6)	Ab initio study of stabilization of the misfit layer compound (Pb S)1.14 Ta S2	Physical Review B: Condensed Matter and Materials Physics (2010) 82,   Article ID 125308 (p. 1-8)	2	293.00	2010	-1	
169787	P -6 2 m	Fe2 P	ZrNiAl#Fe2P	Ab initio study of structural and magnetic properties of Si-doped Fe2 P	Physical Review B: Condensed Matter and Materials Physics (2010) 82,   Article ID 085103 (p. 1-13)	3	293.00	2010	-1	
169788	I m m 2	Fe2 P	Cr2P	Ab initio study of structural and magnetic properties of Si-doped Fe2 P	Physical Review B: Condensed Matter and Materials Physics (2010) 82,   Article ID 085103 (p. 1-13)	12	293.00	2010	-1	
