CollectionCode	HMS	StructuredFormula	StructureType	Title	Reference	FormulaUnitsPerCell	Temperature	PublicationYear	Quality	
686236	P -3 m 1	Mo S2		Ab initio investigation of structural stability and exfoliation energies in transition metal dichalcogenides based on Ti-, V-, and Mo-group elements	Physical Review Materials (2019) 3, (4)  Article ID 044002 (p. null-null)	1	293.00	2019	-1	
686237	P -3 m 1	Nb S2	CdI2(hP3)	Ab initio investigation of structural stability and exfoliation energies in transition metal dichalcogenides based on Ti-, V-, and Mo-group elements	Physical Review Materials (2019) 3, (4)  Article ID 044002 (p. null-null)	1	293.00	2019	-1	
686238	P -3 m 1	Ta S2	CdI2(hP3)	Ab initio investigation of structural stability and exfoliation energies in transition metal dichalcogenides based on Ti-, V-, and Mo-group elements	Physical Review Materials (2019) 3, (4)  Article ID 044002 (p. null-null)	1	293.00	2019	-1	
686239	P -3 m 1	Ti S2	CdI2(hP3)	Ab initio investigation of structural stability and exfoliation energies in transition metal dichalcogenides based on Ti-, V-, and Mo-group elements	Physical Review Materials (2019) 3, (4)  Article ID 044002 (p. null-null)	1	293.00	2019	-1	
686240	P -3 m 1	V S2		Ab initio investigation of structural stability and exfoliation energies in transition metal dichalcogenides based on Ti-, V-, and Mo-group elements	Physical Review Materials (2019) 3, (4)  Article ID 044002 (p. null-null)	1	293.00	2019	-1	
686241	P -3 m 1	W S2		Ab initio investigation of structural stability and exfoliation energies in transition metal dichalcogenides based on Ti-, V-, and Mo-group elements	Physical Review Materials (2019) 3, (4)  Article ID 044002 (p. null-null)	1	293.00	2019	-1	
686242	P -3 m 1	Zr S2	CdI2(hP3)	Ab initio investigation of structural stability and exfoliation energies in transition metal dichalcogenides based on Ti-, V-, and Mo-group elements	Physical Review Materials (2019) 3, (4)  Article ID 044002 (p. null-null)	1	293.00	2019	-1	
686250	P 63/m m c	Mo S2	MoS2(4H)	Transferable screened range-separated hybrids for layered materials: The cases of MoS$_2$ and h-BN	Physical Review Materials (2019) 3, (8)  Article ID 084007 (p. null-null)	2	293.00	2019	-1	
686251	F d -3 m S	Ce Fe2	Laves(cub)#MgCu2	Ab initio phase stabilities of Ce-based hard magnetic materials and comparison with experimental phase diagrams	Physical Review Materials (2019) 3, (8)  Article ID 084407 (p. null-null)	8	293.00	2019	-1	
686309	F m -3 m	Mg2 Pb	Fluorite#CaF2	Thermoelectric properties of semimetals	Physical Review Materials (2019) 3, (9)  Article ID 095401 (p. null-null)	4	293.00	2019	-1	
