CollectionCode	HMS	StructuredFormula	StructureType	Title	Reference	FormulaUnitsPerCell	Temperature	PublicationYear	Quality	
676159	R 3 m H	Os2 C	MoS2(3R)	New phases of osmium carbide from evolutionary algorithm and ab initio computations	Materials Research Express (2017) 4, (9) p. 096503-096503	3	293.00	2017	-1	
676160	C 1 2/m 1	Os2 C		New phases of osmium carbide from evolutionary algorithm and ab initio computations	Materials Research Express (2017) 4, (9) p. 096503-096503	16	293.00	2017	-1	
676162	P 1 2 1	Os C2		New phases of osmium carbide from evolutionary algorithm and ab initio computations	Materials Research Express (2017) 4, (9) p. 096503-096503	4	293.00	2017	-1	
676163	P 1 2 1	Os C2		New phases of osmium carbide from evolutionary algorithm and ab initio computations	Materials Research Express (2017) 4, (9) p. 096503-096503	8	293.00	2017	-1	
676324	C 2 2 2	Ta2 H		Pressure-stabilized superconductive ionic tantalum hydrides	Inorganic Chemistry (2017) 56, (7) p. 3901-3908	2	293.00	2017	-1	
676327	P 63 m c	Ta H2	LiGaGe	Pressure-stabilized superconductive ionic tantalum hydrides	Inorganic Chemistry (2017) 56, (7) p. 3901-3908	2	293.00	2017	-1	
676328	P 63 m c	Ta H2	LiGaGe	Pressure-stabilized superconductive ionic tantalum hydrides	Inorganic Chemistry (2017) 56, (7) p. 3901-3908	2	293.00	2017	-1	
676329	P n m a	Ta H2		Pressure-stabilized superconductive ionic tantalum hydrides	Inorganic Chemistry (2017) 56, (7) p. 3901-3908	4	293.00	2017	-1	
676342	P 4/m b m	Li H2		Prediction of stable ground-state lithium polyhydrides under high pressures	Inorganic Chemistry (2017) 56, (7) p. 3867-3874	4	293.00	2017	-1	
676409	P a -3	Be O2	Pyrite#FeS2(cP12)	Pressure-induced stable beryllium peroxide	Inorganic Chemistry (2017) 56, (9) p. 5233-5238	4	293.00	2017	-1	
676421	C 1 2/c 1	Sr O2	BaS2	Ground-state crystal structure of strontium peroxide predicted from first principless	Inorganic Chemistry (2017) 56, (13) p. 7545-7549	4	293.00	2017	-1	
676422	I 4/m m m	Sr O2	CaC2-I(I4/mmm)	Ground-state crystal structure of strontium peroxide predicted from first principless	Inorganic Chemistry (2017) 56, (13) p. 7545-7549	2	293.00	2017	-1	
676423	P 1 21/c 1	Sr O2		Ground-state crystal structure of strontium peroxide predicted from first principless	Inorganic Chemistry (2017) 56, (13) p. 7545-7549	4	293.00	2017	-1	
676440	I m m m	K2 P		Stability and superconductivity of K–P compounds under pressure	Inorganic Chemistry (2017) 56, (20) p. 12529-12534	4	293.00	2017	-1	
676441	C m c m	K2 P		Stability and superconductivity of K–P compounds under pressure	Inorganic Chemistry (2017) 56, (20) p. 12529-12534	8	293.00	2017	-1	
676442	P 6/m m m	K2 P		Stability and superconductivity of K–P compounds under pressure	Inorganic Chemistry (2017) 56, (20) p. 12529-12534	1	293.00	2017	-1	
676444	I 4/m m m	K P2		Stability and superconductivity of K–P compounds under pressure	Inorganic Chemistry (2017) 56, (20) p. 12529-12534	2	293.00	2017	-1	
676469	F m -3 m	Co H2	Fluorite#CaF2	High-pressure formation of cobalt polyhydrides: A first-principle study	Inorganic Chemistry (2018) 57, (1) p. 181-186	4	293.00	2018	-1	
676483	P b c n	Ag F2		High-pressure behavior of silver fluorides up to 40 GPa	Inorganic Chemistry (2017) 56, (23) p. 14651-14661	8	293.00	2017	-1	
676488	I 4/m m m	Mo Se2	CuZr2	New high-pressure phases of MoSe$_2$ and MoTe$_2$	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (5) p. 054105-054105	2	293.00	2017	-1	
676489	P 4/m m m	Mo Se2		New high-pressure phases of MoSe$_2$ and MoTe$_2$	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (5) p. 054105-054105	2	293.00	2017	-1	
676490	I 4/m m m	Mo Te2	CuZr2	New high-pressure phases of MoSe$_2$ and MoTe$_2$	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (5) p. 054105-054105	2	293.00	2017	-1	
676491	P 4/m m m	Mo Te2		New high-pressure phases of MoSe$_2$ and MoTe$_2$	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (5) p. 054105-054105	2	293.00	2017	-1	
676492	C 1 2/c 1	Be F2		High-pressure phases of group-II difluorides: Polymorphism and superionicity	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (5) p. 054118-054118	12	293.00	2017	-1	
676493	P n n m	Be F2	CaCl2	High-pressure phases of group-II difluorides: Polymorphism and superionicity	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (5) p. 054118-054118	2	293.00	2017	-1	
676494	P -6 2 m	Ca F2		High-pressure phases of group-II difluorides: Polymorphism and superionicity	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (5) p. 054118-054118	3	293.00	2017	-1	
676495	P b c a	Mg F2		High-pressure phases of group-II difluorides: Polymorphism and superionicity	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (5) p. 054118-054118	8	293.00	2017	-1	
676496	C 1 2/c 1	Si O2		High-pressure phases of group-II difluorides: Polymorphism and superionicity	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (5) p. 054118-054118	8	293.00	2017	-1	
676497	P 1 21/c 1	Si O2		High-pressure phases of group-II difluorides: Polymorphism and superionicity	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (5) p. 054118-054118	8	293.00	2017	-1	
676498	P 21 21 21	Si O2		High-pressure phases of group-II difluorides: Polymorphism and superionicity	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (5) p. 054118-054118	8	293.00	2017	-1	
676499	P n m a	Si O2	RbPO2F2	High-pressure phases of group-II difluorides: Polymorphism and superionicity	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (5) p. 054118-054118	8	293.00	2017	-1	
676526	F m -3 m	Co Si2	Fluorite#CaF2	Thermal transport across metal silicide-silicon interfaces: First-principles calculations and Green's function transport simulations	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (8) p. 085310-085310	4	293.00	2017	-1	
676554	F m -3 m	Ca F2	Fluorite#CaF2	High accuracy and transferability of a neural network potential through charge equilibration for calcium fluoride	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (10) p. 104105-104105	4	293.00	2017	-1	
676557	F m -3 m	Nb H2	Fluorite#CaF2	Nb-H system at high pressures and temperatures	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (10) p. 104110-104110	4	293.00	2017	-1	
676558	P n m a	Nb H2		Nb-H system at high pressures and temperatures	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (10) p. 104110-104110	4	293.00	2017	-1	
676560	P 31 2 1	Si O2	Quartz(low)#SiO2	Stability limits and transformation pathways of $\alpha$-quartz under high pressure	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (10) p. 104112-104112	3	293.00	2017	-1	
676561	P 1 2/c 1	Si O2	Wolframite#NiWO4	Stability limits and transformation pathways of $\alpha$-quartz under high pressure	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (10) p. 104112-104112	4	293.00	2017	-1	
676562	C 2 2 2	Si O2		Stability limits and transformation pathways of $\alpha$-quartz under high pressure	Physical Review B: Condensed Matter and Materials Physics (2017) 95, (10) p. 104112-104112	6	293.00	2017	-1	
676696	F m -3 m	Li2 S	Fluorite#CaF2	Structural phase transitions in Li$_2$S, Na$_2$S and K$_2$S under compression	Journal of Alloys and Compounds (2017) 710,  p. 460-467	4	293.00	2017	-1	
676697	P n m a	Li2 S	TiNiSi#MgSrSi	Structural phase transitions in Li$_2$S, Na$_2$S and K$_2$S under compression	Journal of Alloys and Compounds (2017) 710,  p. 460-467	4	293.00	2017	-1	
